userid,korean,japanese,chinese,western,fried,grilled,soup,stir_fried,raw,steamed,beverage,asian,sweetness,sour_taste,spicy,noodle,seafood,meat,vegetable,spice,rice,dessert,wheat,soda,slimy,salty,fruit
1,7.458333333333333,7.642857142857143,7.266666666666667,8.909090909090908,8.117647058823529,8.875,6.882352941176471,6.466666666666667,9.166666666666666,8.076923076923077,7.666666666666667,5.5,8.6,7.25,6.782608695652174,7.529411764705882,8.0,7.944444444444445,6.838709677419355,7.0,7.142857142857143,8.666666666666666,8.5,,,,
2,7.9,8.0,8.11111111111111,9.153846153846153,8.68421052631579,9.0,8.0,7.423076923076923,8.833333333333334,7.733333333333333,7.0,7.0,7.888888888888889,7.0,7.846153846153846,8.105263157894736,8.428571428571429,8.416666666666666,7.761904761904762,7.8,7.916666666666667,7.5,8.277777777777779,,6.0,,
3,6.68,7.428571428571429,7.473684210526316,6.090909090909091,7.888888888888889,7.615384615384615,6.75,5.8076923076923075,7.2,6.25,7.0,3.7142857142857144,6.857142857142857,6.5,7.521739130434782,6.15,6.809523809523809,7.375,6.2894736842105265,4.9,6.083333333333333,6.75,7.0,,6.0,,
9,7.3076923076923075,7.75,8.285714285714286,8.857142857142858,8.5,8.833333333333334,7.8,7.444444444444445,7.5,10.0,9.0,,6.666666666666667,5.666666666666667,7.153846153846154,8.571428571428571,8.3,8.277777777777779,6.461538461538462,9.0,7.5,6.0,7.5,,8.0,,
13,7.5,6.619047619047619,7.4375,6.571428571428571,7.6875,8.076923076923077,6.0,7.318181818181818,7.666666666666667,6.5,5.0,4.571428571428571,5.9375,6.8,7.714285714285714,5.9411764705882355,5.842105263157895,7.979591836734694,6.894736842105263,6.0,7.2272727272727275,4.111111111111111,5.875,,2.0,,
17,9.523809523809524,8.833333333333334,9.25,9.666666666666666,9.166666666666666,9.538461538461538,9.222222222222221,9.28,9.666666666666666,9.5,9.0,8.8,9.5,9.25,9.523809523809524,9.25,9.1875,9.463414634146341,9.2,9.142857142857142,9.333333333333334,9.666666666666666,9.3125,,10.0,,
21,8.170212765957446,7.478260869565218,7.9411764705882355,8.5,8.058823529411764,8.454545454545455,8.3125,8.347826086956522,8.666666666666666,6.846153846153846,7.0,7.5,7.090909090909091,9.5,7.9523809523809526,8.45,7.388888888888889,8.11111111111111,8.176470588235293,7.6,7.818181818181818,6.571428571428571,8.0,,,,
